case_id,court,case_type,filing_date,filing_year,disposal_date,duration_months,event,hearings,adjournments,current_age_months
NG-00242,Noida District Court,Motor Accident,2021-09-01,2021,2024-07-13 22:36:25.352038699,34.39,1,7,5,34.39
NG-00243,Jaipur District Court,Cheque Bounce,2019-09-01,2019,2021-09-10 01:34:01.335190748,24.31,1,13,3,24.31
NG-00244,Lucknow District Court,Civil Dispute,2020-12-01,2020,2023-09-22 03:16:35.256360861,33.68,1,9,2,33.68
NG-00245,Lucknow District Court,Cheque Bounce,2018-12-01,2018,2024-07-22 19:33:58.169992187,67.7,1,5,5,67.7
NG-00246,Delhi District Court,Motor Accident,2019-12-01,2019,2022-08-19 16:20:08.870305476,32.61,1,5,1,32.61
NG-00247,Delhi District Court,Motor Accident,2019-07-01,2019,2021-04-04 17:23:38.291888924,21.15,1,4,1,21.15
NG-00248,Delhi District Court,Civil Dispute,2018-07-01,2018,2022-06-17 11:22:44.883087127,47.55,1,4,4,47.55
NG-00249,Delhi District Court,Cheque Bounce,2018-11-01,2018,2021-01-01 06:48:00.277671314,26.03,1,7,1,26.03
NG-00250,Noida District Court,Cheque Bounce,2025-03-01,2025,,16.0,0,6,2,16.0
NG-00251,Jaipur District Court,Motor Accident,2024-06-01,2024,,24.97,0,8,4,24.97
NG-00252,Jaipur District Court,Motor Accident,2024-06-01,2024,2026-06-09 01:01:18.919934535,24.25,1,8,4,24.25
NG-00253,Jaipur District Court,Cheque Bounce,2023-06-01,2023,2026-02-22 08:36:21.024894173,32.76,1,7,1,32.76
NG-00254,Jaipur District Court,Property,2021-07-01,2021,2023-08-22 14:16:44.575457877,25.71,1,6,3,25.71
NG-00255,Jaipur District Court,Motor Accident,2024-06-01,2024,,24.97,0,9,2,24.97
NG-00256,Delhi District Court,Property,2020-04-01,2020,2024-01-15 05:19:10.055873210,45.47,1,14,6,45.47
NG-00257,Noida District Court,Property,2018-01-01,2018,2019-11-27 09:59:33.464424160,22.85,1,6,1,22.85
NG-00258,Lucknow District Court,Civil Dispute,2025-03-01,2025,,16.0,0,4,1,16.0
NG-00259,Jaipur District Court,Civil Dispute,2022-07-01,2022,2024-12-27 21:32:56.039087163,29.92,1,4,5,29.92
NG-00260,Lucknow District Court,Property,2022-12-01,2022,2024-06-05 18:02:27.515242357,18.16,1,9,0,18.16
NG-00261,Noida District Court,Property,2023-08-01,2023,,34.99,0,5,2,34.99
NG-00262,Lucknow District Court,Family,2019-03-01,2019,2020-07-13 19:49:15.619373091,16.45,1,5,1,16.45
NG-00263,Noida District Court,Motor Accident,2018-04-01,2018,2019-04-24 04:08:37.480802377,12.75,1,2,1,12.75
NG-00264,Jaipur District Court,Cheque Bounce,2025-07-01,2025,,11.99,0,5,1,11.99
NG-00265,Jaipur District Court,Motor Accident,2024-02-01,2024,2025-10-23 17:32:39.624456324,20.72,1,5,2,20.72
NG-00266,Noida District Court,Motor Accident,2023-01-01,2023,2025-02-07 08:37:55.149491487,25.24,1,7,5,25.24
NG-00267,Delhi District Court,Cheque Bounce,2019-07-01,2019,2022-05-07 14:29:35.772638755,34.22,1,4,1,34.22
NG-00268,Noida District Court,Motor Accident,2025-03-01,2025,,16.0,0,4,4,16.0
NG-00269,Lucknow District Court,Family,2021-03-01,2021,2023-12-19 09:27:55.744909352,33.62,1,2,4,33.62
NG-00270,Lucknow District Court,Family,2020-01-01,2020,2024-10-21 19:50:32.478410515,57.68,1,9,1,57.68
NG-00271,Delhi District Court,Cheque Bounce,2025-08-01,2025,,10.97,0,4,0,10.97
NG-00272,Lucknow District Court,Cheque Bounce,2018-02-01,2018,2021-04-27 22:56:43.384981591,38.83,1,9,1,38.83
NG-00273,Lucknow District Court,Civil Dispute,2025-09-01,2025,,9.95,0,9,2,9.95
NG-00274,Noida District Court,Property,2019-03-01,2019,2021-05-20 16:08:19.443622663,26.66,1,5,3,26.66
NG-00275,Lucknow District Court,Property,2023-07-01,2023,2026-01-22 19:09:12.206536326,30.78,1,7,3,30.78
NG-00276,Delhi District Court,Property,2022-12-01,2022,2025-09-23 18:43:05.095748170,33.76,1,5,1,33.76
NG-00277,Noida District Court,Property,2018-04-01,2018,2022-04-24 07:13:57.126313009,48.76,1,6,1,48.76
NG-00278,Noida District Court,Motor Accident,2018-05-01,2018,2022-01-04 08:04:36.888945228,44.16,1,6,3,44.16
NG-00279,Noida District Court,Property,2021-09-01,2021,,57.95,0,8,3,57.95
NG-00280,Delhi District Court,Cheque Bounce,2022-02-01,2022,2023-04-10 08:48:21.202363226,14.24,1,7,3,14.24
NG-00281,Lucknow District Court,Family,2023-09-01,2023,2025-04-19 13:42:55.323406491,19.6,1,9,2,19.6
NG-00282,Delhi District Court,Family,2021-01-01,2021,2023-04-16 20:39:06.129065692,27.46,1,6,3,27.46
NG-00283,Jaipur District Court,Civil Dispute,2018-08-01,2018,2021-08-26 22:43:33.786817167,36.86,1,8,3,36.86
NG-00284,Noida District Court,Property,2024-06-01,2024,,24.97,0,6,0,24.97
NG-00285,Delhi District Court,Cheque Bounce,2020-09-01,2020,2024-01-22 11:54:13.785625221,40.69,1,5,4,40.69
NG-00286,Lucknow District Court,Motor Accident,2025-03-01,2025,,16.0,0,5,4,16.0
NG-00287,Lucknow District Court,Motor Accident,2019-12-01,2019,2022-05-10 08:26:54.583928145,29.28,1,12,2,29.28
NG-00288,Delhi District Court,Civil Dispute,2019-03-01,2019,2023-05-19 12:49:30.063120401,50.61,1,10,4,50.61
NG-00289,Jaipur District Court,Property,2019-07-01,2019,2023-11-29 17:15:41.609839423,52.98,1,9,1,52.98
NG-00290,Noida District Court,Cheque Bounce,2023-08-01,2023,2026-01-27 17:32:59.004336932,29.92,1,4,1,29.92
NG-00291,Noida District Court,Motor Accident,2020-09-01,2020,2024-03-03 05:43:21.249038565,42.02,1,6,3,42.02
NG-00292,Lucknow District Court,Family,2024-11-01,2024,,19.94,0,7,1,19.94
NG-00293,Delhi District Court,Cheque Bounce,2023-01-01,2023,2026-05-18 13:30:46.627300373,40.52,1,4,4,40.52
NG-00294,Delhi District Court,Family,2018-06-01,2018,2021-09-10 13:20:45.893208367,39.34,1,11,1,39.34
NG-00295,Jaipur District Court,Cheque Bounce,2021-01-01,2021,2022-09-09 07:40:11.338292922,20.25,1,9,2,20.25
NG-00296,Noida District Court,Civil Dispute,2023-10-01,2023,2026-01-27 08:27:43.658893258,27.9,1,9,0,27.9
NG-00297,Jaipur District Court,Cheque Bounce,2019-06-01,2019,2020-10-06 08:51:04.494447000,16.21,1,2,3,16.21
NG-00298,Lucknow District Court,Civil Dispute,2019-06-01,2019,2023-02-23 00:38:24.274585864,44.78,1,10,3,44.78
NG-00299,Noida District Court,Cheque Bounce,2021-01-01,2021,2022-07-25 06:51:41.915468462,18.73,1,1,1,18.73
NG-00300,Noida District Court,Civil Dispute,2023-12-01,2023,2025-11-12 08:54:04.848492000,23.4,1,9,3,23.4
NG-00301,Jaipur District Court,Family,2024-07-01,2024,,23.98,0,6,4,23.98
NG-00302,Noida District Court,Cheque Bounce,2019-03-01,2019,2021-06-13 06:18:04.505447966,27.44,1,9,4,27.44
NG-00303,Delhi District Court,Motor Accident,2020-11-01,2020,2022-11-13 08:26:16.300785212,24.39,1,2,3,24.39
NG-00304,Delhi District Court,Cheque Bounce,2018-08-01,2018,2021-03-20 20:26:32.614782002,31.63,1,6,3,31.63
NG-00305,Delhi District Court,Cheque Bounce,2025-12-01,2025,,6.96,0,6,3,6.96
NG-00306,Lucknow District Court,Family,2020-05-01,2020,2022-05-29 11:45:42.666905776,24.92,1,7,3,24.92
NG-00307,Jaipur District Court,Family,2020-03-01,2020,2021-05-15 08:20:39.400987202,14.47,1,9,2,14.47
NG-00308,Noida District Court,Civil Dispute,2018-05-01,2018,2024-05-30 18:50:53.480848369,72.99,1,9,3,72.99
NG-00309,Noida District Court,Family,2020-11-01,2020,2022-03-31 22:44:13.548206489,16.95,1,7,1,16.95
NG-00310,Jaipur District Court,Property,2022-10-01,2022,,44.97,0,9,2,44.97
NG-00311,Jaipur District Court,Property,2019-07-01,2019,2021-01-18 13:50:34.676277224,18.65,1,2,1,18.65
NG-00312,Delhi District Court,Cheque Bounce,2019-04-01,2019,2021-03-14 18:55:22.549170783,23.45,1,10,2,23.45
NG-00313,Noida District Court,Cheque Bounce,2018-05-01,2018,2020-08-12 09:13:45.996511031,27.41,1,7,3,27.41
NG-00314,Lucknow District Court,Family,2023-08-01,2023,2025-07-29 09:31:29.493846534,23.93,1,7,3,23.93
NG-00315,Jaipur District Court,Property,2025-04-01,2025,,14.98,0,5,1,14.98
NG-00316,Jaipur District Court,Cheque Bounce,2020-11-01,2020,2024-12-05 19:04:03.088344512,49.14,1,6,2,49.14
NG-00317,Jaipur District Court,Cheque Bounce,2025-11-01,2025,,7.95,0,7,1,7.95
NG-00318,Noida District Court,Motor Accident,2020-07-01,2020,2021-08-21 10:21:04.757160957,13.68,1,7,3,13.68
NG-00319,Lucknow District Court,Property,2019-06-01,2019,2021-12-07 06:57:29.443583563,30.23,1,7,4,30.23
NG-00320,Noida District Court,Motor Accident,2025-11-01,2025,,7.95,0,5,1,7.95
NG-00321,Noida District Court,Property,2019-10-01,2019,2023-01-08 21:34:02.750637483,39.29,1,7,2,39.29
NG-00322,Lucknow District Court,Civil Dispute,2018-03-01,2018,2019-09-29 03:51:30.854756514,18.96,1,8,0,18.96
NG-00323,Jaipur District Court,Property,2022-07-01,2022,2025-03-16 03:38:56.003278548,32.5,1,9,1,32.5
NG-00324,Noida District Court,Property,2020-06-01,2020,2023-09-21 20:10:25.847901396,39.68,1,9,4,39.68
NG-00325,Delhi District Court,Cheque Bounce,2019-01-01,2019,2020-05-02 16:45:12.643704696,16.02,1,3,1,16.02
NG-00326,Jaipur District Court,Property,2021-11-01,2021,2023-09-12 15:38:48.555548047,22.36,1,11,1,22.36
NG-00327,Jaipur District Court,Cheque Bounce,2018-05-01,2018,2021-07-06 05:31:46.089908754,38.18,1,3,4,38.18
NG-00328,Lucknow District Court,Cheque Bounce,2021-02-01,2021,2022-06-30 22:18:04.137581229,16.92,1,5,0,16.92
NG-00329,Lucknow District Court,Motor Accident,2024-03-01,2024,,27.99,0,6,1,27.99
NG-00330,Noida District Court,Civil Dispute,2024-08-01,2024,,22.96,0,5,5,22.96
NG-00331,Lucknow District Court,Property,2023-05-01,2023,2025-11-26 07:35:27.778932545,30.89,1,11,3,30.89
NG-00332,Delhi District Court,Civil Dispute,2025-12-01,2025,,6.96,0,6,4,6.96
NG-00333,Jaipur District Court,Cheque Bounce,2019-11-01,2019,2022-06-23 12:59:10.813731273,31.72,1,5,2,31.72
NG-00334,Delhi District Court,Cheque Bounce,2025-05-01,2025,,13.99,0,6,1,13.99
NG-00335,Noida District Court,Cheque Bounce,2019-12-01,2019,2021-12-27 20:42:05.570566240,24.9,1,8,4,24.9
NG-00336,Jaipur District Court,Property,2024-04-01,2024,,26.97,0,11,3,26.97
NG-00337,Lucknow District Court,Motor Accident,2025-06-01,2025,,12.98,0,6,3,12.98
NG-00338,Lucknow District Court,Motor Accident,2019-03-01,2019,2022-12-14 19:36:58.441530312,45.49,1,6,5,45.49
NG-00339,Noida District Court,Civil Dispute,2020-05-01,2020,2021-12-13 03:03:07.490702445,19.42,1,4,3,19.42
NG-00340,Jaipur District Court,Cheque Bounce,2018-10-01,2018,2021-03-09 02:36:44.958510299,29.24,1,4,2,29.24
NG-00341,Lucknow District Court,Cheque Bounce,2024-12-01,2024,,18.96,0,10,3,18.96
NG-00342,Lucknow District Court,Family,2018-09-01,2018,2021-05-15 15:39:39.102328961,32.45,1,6,2,32.45
NG-00343,Delhi District Court,Property,2019-06-01,2019,2024-01-18 13:18:41.285010807,55.6,1,3,1,55.6
NG-00344,Delhi District Court,Cheque Bounce,2025-07-01,2025,,11.99,0,4,2,11.99
NG-00345,Jaipur District Court,Cheque Bounce,2025-02-01,2025,,16.92,0,9,1,16.92
NG-00346,Delhi District Court,Motor Accident,2020-04-01,2020,2022-01-16 19:13:46.785131898,21.54,1,3,1,21.54
NG-00347,Lucknow District Court,Property,2024-06-01,2024,2025-09-30 02:23:14.005309920,15.97,1,6,2,15.97
NG-00348,Delhi District Court,Civil Dispute,2024-11-01,2024,,19.94,0,10,2,19.94
NG-00349,Delhi District Court,Property,2022-01-01,2022,2024-05-23 04:30:08.271193124,28.69,1,7,3,28.69
NG-00350,Jaipur District Court,Cheque Bounce,2020-12-01,2020,2023-12-10 04:06:07.116415977,36.27,1,6,2,36.27
NG-00351,Noida District Court,Civil Dispute,2024-01-01,2024,2026-02-04 06:38:24.983892504,25.14,1,13,3,25.14
NG-00352,Delhi District Court,Motor Accident,2018-05-01,2018,2020-02-29 08:29:08.014865809,21.99,1,8,3,21.99
NG-00353,Lucknow District Court,Property,2023-11-01,2023,2025-10-31 21:50:57.198208378,24.01,1,7,0,24.01
NG-00354,Delhi District Court,Family,2018-01-01,2018,2019-12-30 11:49:20.341048638,23.93,1,4,1,23.93
NG-00355,Noida District Court,Property,2018-03-01,2018,2022-01-12 06:30:33.447291851,46.43,1,7,2,46.43
NG-00356,Noida District Court,Civil Dispute,2025-03-01,2025,,16.0,0,5,1,16.0
NG-00357,Lucknow District Court,Motor Accident,2020-05-01,2020,2022-12-06 06:29:57.273714939,31.18,1,12,2,31.18
NG-00358,Jaipur District Court,Cheque Bounce,2025-10-01,2025,,8.97,0,7,2,8.97
NG-00359,Lucknow District Court,Family,2018-08-01,2018,2020-08-11 23:53:33.568899933,24.38,1,9,3,24.38
NG-00360,Jaipur District Court,Cheque Bounce,2020-01-01,2020,2023-06-12 00:09:11.464313158,41.33,1,11,6,41.33
NG-00361,Noida District Court,Cheque Bounce,2023-01-01,2023,2024-03-09 18:48:33.595875875,14.25,1,7,2,14.25
NG-00362,Delhi District Court,Cheque Bounce,2019-11-01,2019,2023-05-21 08:16:44.207812623,42.62,1,11,1,42.62
NG-00363,Noida District Court,Cheque Bounce,2023-05-01,2023,,38.01,0,12,5,38.01
NG-00364,Lucknow District Court,Family,2023-07-01,2023,2025-07-29 16:11:48.530932785,24.96,1,7,4,24.96
NG-00365,Noida District Court,Family,2021-04-01,2021,2023-08-04 20:42:16.915405089,28.12,1,6,3,28.12
NG-00366,Lucknow District Court,Cheque Bounce,2025-11-01,2025,,7.95,0,7,3,7.95
NG-00367,Lucknow District Court,Cheque Bounce,2024-12-01,2024,,18.96,0,6,0,18.96
NG-00368,Noida District Court,Family,2022-04-01,2022,2023-02-02 19:15:38.108259662,10.11,1,6,1,10.11
NG-00369,Noida District Court,Family,2019-12-01,2019,2023-01-25 07:10:11.052147780,37.82,1,6,2,37.82
NG-00370,Noida District Court,Property,2022-11-01,2022,2025-06-08 19:36:58.247091457,31.24,1,5,1,31.24
NG-00371,Lucknow District Court,Motor Accident,2021-07-01,2021,2023-11-10 16:19:50.905779712,28.34,1,6,5,28.34
NG-00372,Jaipur District Court,Family,2024-04-01,2024,2026-01-02 05:03:40.863012514,21.06,1,7,1,21.06
NG-00373,Delhi District Court,Civil Dispute,2019-08-01,2019,2020-12-31 09:09:14.070746589,17.03,1,6,0,17.03
NG-00374,Jaipur District Court,Property,2025-05-01,2025,,13.99,0,6,2,13.99
NG-00375,Delhi District Court,Family,2020-03-01,2020,2022-04-12 23:11:17.999649029,25.39,1,9,2,25.39
NG-00376,Delhi District Court,Property,2020-10-01,2020,2022-07-25 01:05:11.411282264,21.75,1,6,1,21.75
NG-00377,Lucknow District Court,Civil Dispute,2022-10-01,2022,2026-05-03 09:30:58.073198250,43.05,1,7,7,43.05
NG-00378,Jaipur District Court,Cheque Bounce,2025-02-01,2025,,16.92,0,10,2,16.92
NG-00379,Noida District Court,Motor Accident,2018-05-01,2018,2023-01-17 10:03:11.159330368,56.58,1,5,4,56.58
NG-00380,Lucknow District Court,Property,2023-06-01,2023,,36.99,0,4,1,36.99
NG-00381,Jaipur District Court,Civil Dispute,2023-04-01,2023,2025-11-26 09:20:52.088053943,31.88,1,6,1,31.88
NG-00382,Delhi District Court,Family,2018-07-01,2018,2019-06-17 22:45:07.409341342,11.56,1,5,1,11.56
NG-00383,Jaipur District Court,Cheque Bounce,2021-11-01,2021,2024-06-25 08:59:04.674552400,31.78,1,6,0,31.78
NG-00384,Noida District Court,Cheque Bounce,2022-07-01,2022,2025-05-12 09:04:42.090969092,34.38,1,9,3,34.38
NG-00385,Jaipur District Court,Motor Accident,2019-06-01,2019,2021-05-10 09:44:34.862447592,23.31,1,4,1,23.31
NG-00386,Delhi District Court,Cheque Bounce,2018-04-01,2018,2023-07-31 06:48:55.814669133,63.97,1,7,2,63.97
NG-00387,Noida District Court,Property,2022-05-01,2022,2024-12-31 03:42:44.968172330,32.04,1,8,1,32.04
NG-00388,Lucknow District Court,Family,2018-07-01,2018,2021-08-22 11:11:43.283931558,37.73,1,11,4,37.73
NG-00389,Lucknow District Court,Family,2022-08-01,2022,2024-07-26 17:33:22.552262792,23.84,1,8,1,23.84
NG-00390,Jaipur District Court,Cheque Bounce,2025-06-01,2025,,12.98,0,8,0,12.98
NG-00391,Noida District Court,Civil Dispute,2023-08-01,2023,2026-03-03 13:39:25.087772917,31.06,1,6,2,31.06
NG-00392,Jaipur District Court,Property,2019-04-01,2019,2022-02-07 08:08:55.260755462,34.28,1,7,5,34.28
NG-00393,Delhi District Court,Cheque Bounce,2019-04-01,2019,2022-06-06 09:14:02.111961848,38.19,1,10,3,38.19
NG-00394,Lucknow District Court,Civil Dispute,2020-11-01,2020,2023-02-01 23:49:35.822782119,27.04,1,3,2,27.04
NG-00395,Noida District Court,Cheque Bounce,2023-08-01,2023,2026-01-13 00:47:47.070465432,29.44,1,5,4,29.44
NG-00396,Jaipur District Court,Motor Accident,2024-11-01,2024,,19.94,0,9,2,19.94
NG-00397,Delhi District Court,Family,2020-11-01,2020,2022-12-24 23:41:15.196605777,25.76,1,10,2,25.76
NG-00398,Delhi District Court,Property,2020-05-01,2020,2023-09-06 22:18:13.294835746,40.21,1,9,5,40.21
NG-00399,Noida District Court,Property,2023-09-01,2023,2025-02-21 01:10:00.765172041,17.71,1,10,2,17.71
NG-00400,Jaipur District Court,Civil Dispute,2019-03-01,2019,2023-02-07 06:10:07.957870207,47.28,1,7,2,47.28
NG-00401,Delhi District Court,Property,2024-06-01,2024,,24.97,0,6,2,24.97
NG-00402,Lucknow District Court,Family,2021-02-01,2021,2024-08-13 19:19:48.753413774,42.37,1,4,2,42.37
NG-00403,Noida District Court,Cheque Bounce,2023-06-01,2023,2026-02-21 17:25:44.222632219,32.74,1,9,3,32.74
NG-00404,Delhi District Court,Civil Dispute,2019-06-01,2019,,84.99,0,6,3,84.99
NG-00405,Lucknow District Court,Cheque Bounce,2019-03-01,2019,2024-08-02 10:41:59.406455040,65.09,1,9,3,65.09
NG-00406,Jaipur District Court,Cheque Bounce,2018-07-01,2018,2021-04-02 10:00:59.964590514,33.06,1,10,3,33.06
NG-00407,Lucknow District Court,Family,2024-01-01,2024,2026-05-30 19:30:14.753082216,28.94,1,5,3,28.94
NG-00408,Lucknow District Court,Civil Dispute,2019-05-01,2019,2023-04-14 09:50:05.157870313,47.45,1,8,3,47.45
NG-00409,Delhi District Court,Civil Dispute,2019-08-01,2019,2025-08-09 20:00:49.559868944,72.3,1,5,1,72.3
NG-00410,Jaipur District Court,Property,2019-02-01,2019,2021-10-17 06:46:02.611379006,32.5,1,5,1,32.5
NG-00411,Noida District Court,Cheque Bounce,2025-02-01,2025,,16.92,0,6,3,16.92
NG-00412,Lucknow District Court,Motor Accident,2023-02-01,2023,2025-02-07 21:13:41.153550087,24.24,1,8,5,24.24
NG-00413,Delhi District Court,Civil Dispute,2022-12-01,2022,,42.97,0,8,4,42.97
NG-00414,Lucknow District Court,Motor Accident,2024-05-01,2024,,25.99,0,4,1,25.99
NG-00415,Delhi District Court,Motor Accident,2018-02-01,2018,2022-09-27 22:43:14.257169883,55.85,1,2,2,55.85
NG-00416,Delhi District Court,Civil Dispute,2019-11-01,2019,2022-09-21 07:29:16.012361400,34.67,1,4,1,34.67
NG-00417,Jaipur District Court,Cheque Bounce,2022-05-01,2022,2024-01-11 16:56:53.897430485,20.39,1,6,3,20.39
NG-00418,Jaipur District Court,Civil Dispute,2023-08-01,2023,2026-04-24 12:39:59.056281884,32.77,1,2,5,32.77
NG-00419,Delhi District Court,Motor Accident,2022-07-01,2022,,48.0,0,9,3,48.0
NG-00420,Lucknow District Court,Cheque Bounce,2020-06-01,2020,2023-10-28 16:40:10.776220642,40.89,1,8,5,40.89
NG-00421,Noida District Court,Cheque Bounce,2021-09-01,2021,2023-09-15 22:15:48.539311107,24.47,1,6,2,24.47
NG-00422,Noida District Court,Cheque Bounce,2019-02-01,2019,2021-08-14 03:31:08.663883726,30.39,1,12,2,30.39
NG-00423,Delhi District Court,Family,2022-07-01,2022,2024-05-20 21:18:08.972754696,22.66,1,5,3,22.66
NG-00424,Jaipur District Court,Cheque Bounce,2020-02-01,2020,2021-12-30 03:28:53.256817729,22.94,1,5,3,22.94
NG-00425,Noida District Court,Cheque Bounce,2021-12-01,2021,2024-02-18 23:24:19.375922710,26.61,1,11,3,26.61
NG-00426,Delhi District Court,Family,2020-05-01,2020,2022-10-09 10:45:57.595086938,29.29,1,9,4,29.29
NG-00427,Delhi District Court,Cheque Bounce,2022-06-01,2022,2025-02-20 08:18:08.475022782,32.7,1,10,1,32.7
NG-00428,Noida District Court,Property,2022-03-01,2022,2026-04-10 19:59:29.812167496,49.34,1,6,1,49.34
NG-00429,Delhi District Court,Property,2023-07-01,2023,,36.01,0,5,7,36.01
NG-00430,Jaipur District Court,Cheque Bounce,2021-12-01,2021,2024-01-03 00:04:31.400701714,25.07,1,7,1,25.07
NG-00431,Noida District Court,Civil Dispute,2018-06-01,2018,2020-10-26 06:47:09.763087594,28.85,1,7,1,28.85
NG-00432,Jaipur District Court,Civil Dispute,2023-09-01,2023,,33.97,0,7,3,33.97
NG-00433,Lucknow District Court,Cheque Bounce,2019-02-01,2019,2024-08-23 22:57:56.601408899,66.72,1,7,6,66.72
NG-00434,Delhi District Court,Family,2018-09-01,2018,2020-03-17 00:31:50.081874300,18.5,1,10,2,18.5
NG-00435,Noida District Court,Property,2023-04-01,2023,2026-05-06 15:53:32.966558845,37.18,1,8,5,37.18
NG-00436,Jaipur District Court,Motor Accident,2021-02-01,2021,2022-11-12 11:55:41.897486020,21.34,1,8,2,21.34
NG-00437,Lucknow District Court,Property,2019-10-01,2019,2023-08-21 13:21:20.935673467,46.67,1,6,5,46.67
NG-00438,Jaipur District Court,Property,2019-08-01,2019,2021-09-01 20:04:10.355160665,25.06,1,1,0,25.06
NG-00439,Lucknow District Court,Property,2025-10-01,2025,,8.97,0,12,0,8.97
NG-00440,Lucknow District Court,Motor Accident,2022-01-01,2022,2024-07-01 20:36:04.580856501,29.99,1,5,5,29.99
NG-00441,Delhi District Court,Property,2020-12-01,2020,2024-03-06 22:41:52.941184736,39.16,1,1,1,39.16
NG-00442,Lucknow District Court,Cheque Bounce,2024-09-01,2024,2026-04-04 19:19:35.769762042,19.08,1,8,2,19.08
NG-00443,Jaipur District Court,Civil Dispute,2020-01-01,2020,2022-05-27 05:09:35.920118802,28.82,1,6,1,28.82
NG-00444,Delhi District Court,Family,2022-12-01,2022,2026-05-10 11:13:24.194229654,41.28,1,8,4,41.28
NG-00445,Lucknow District Court,Family,2023-03-01,2023,2025-04-06 08:47:03.340591949,25.21,1,8,2,25.21
NG-00446,Jaipur District Court,Cheque Bounce,2024-07-01,2024,,23.98,0,2,3,23.98
NG-00447,Jaipur District Court,Property,2023-10-01,2023,,32.98,0,6,4,32.98
NG-00448,Lucknow District Court,Civil Dispute,2025-06-01,2025,,12.98,0,6,2,12.98
NG-00449,Noida District Court,Motor Accident,2018-07-01,2018,2020-08-31 08:57:45.484296693,26.03,1,13,5,26.03
NG-00450,Jaipur District Court,Property,2021-01-01,2021,2023-08-03 11:07:37.617063176,31.03,1,5,3,31.03
NG-00451,Noida District Court,Civil Dispute,2023-03-01,2023,2026-02-07 07:41:43.964889636,35.29,1,6,4,35.29
NG-00452,Delhi District Court,Family,2018-05-01,2018,2020-02-02 15:44:01.425770687,21.11,1,4,1,21.11
NG-00453,Jaipur District Court,Family,2022-12-01,2022,2024-06-25 01:49:17.158415229,18.79,1,6,1,18.79
NG-00454,Jaipur District Court,Property,2023-02-01,2023,2023-12-31 02:47:18.399422927,10.94,1,4,1,10.94
NG-00455,Jaipur District Court,Civil Dispute,2024-07-01,2024,,23.98,0,12,4,23.98
NG-00456,Jaipur District Court,Family,2020-01-01,2020,2022-12-25 12:59:52.417863899,35.79,1,5,3,35.79
NG-00457,Noida District Court,Cheque Bounce,2018-11-01,2018,2020-09-16 15:08:03.888357397,22.52,1,7,4,22.52
NG-00458,Jaipur District Court,Civil Dispute,2019-04-01,2019,2021-09-28 21:40:38.750258115,29.96,1,9,4,29.96
NG-00459,Delhi District Court,Civil Dispute,2021-07-01,2021,2023-11-03 02:35:36.707984232,28.09,1,8,0,28.09
NG-00460,Noida District Court,Family,2022-05-01,2022,2024-10-06 11:34:08.781263313,29.22,1,8,3,29.22
NG-00461,Noida District Court,Motor Accident,2020-03-01,2020,2022-06-01 12:25:13.644203681,27.02,1,6,3,27.02
NG-00462,Delhi District Court,Cheque Bounce,2018-04-01,2018,2020-11-29 15:53:22.056258246,31.99,1,7,6,31.99
NG-00463,Delhi District Court,Motor Accident,2018-06-01,2018,2020-06-29 00:49:52.889356773,24.94,1,5,2,24.94
NG-00464,Noida District Court,Cheque Bounce,2019-01-01,2019,2020-07-30 12:36:46.304672561,18.94,1,10,2,18.94
NG-00465,Lucknow District Court,Cheque Bounce,2022-10-01,2022,2025-11-02 14:15:09.575994303,37.08,1,8,1,37.08
NG-00466,Lucknow District Court,Family,2021-03-01,2021,2022-09-20 05:26:52.730707968,18.67,1,8,1,18.67
NG-00467,Noida District Court,Motor Accident,2025-09-01,2025,,9.95,0,5,2,9.95
NG-00468,Lucknow District Court,Property,2023-12-01,2023,2025-05-04 15:51:34.318083968,17.1,1,7,2,17.1
NG-00469,Lucknow District Court,Property,2024-05-01,2024,,25.99,0,9,5,25.99
NG-00470,Delhi District Court,Cheque Bounce,2019-12-01,2019,2021-09-21 06:05:46.582225388,21.69,1,8,2,21.69
NG-00471,Jaipur District Court,Motor Accident,2023-09-01,2023,,33.97,0,10,0,33.97
NG-00472,Lucknow District Court,Civil Dispute,2025-03-01,2025,,16.0,0,6,1,16.0
NG-00473,Jaipur District Court,Property,2025-05-01,2025,,13.99,0,8,0,13.99
NG-00474,Lucknow District Court,Motor Accident,2022-09-01,2022,2024-11-03 21:42:39.285882069,26.11,1,9,1,26.11
NG-00475,Lucknow District Court,Property,2018-02-01,2018,2021-07-08 20:36:44.885789907,41.19,1,5,2,41.19
NG-00476,Lucknow District Court,Cheque Bounce,2023-11-01,2023,,31.96,0,8,6,31.96
NG-00477,Delhi District Court,Motor Accident,2025-01-01,2025,,17.94,0,11,5,17.94
NG-00478,Jaipur District Court,Cheque Bounce,2025-06-01,2025,,12.98,0,6,2,12.98
NG-00479,Lucknow District Court,Property,2025-06-01,2025,,12.98,0,6,3,12.98
NG-00480,Noida District Court,Cheque Bounce,2021-03-01,2021,2024-07-28 11:44:03.858156689,40.92,1,10,5,40.92
NG-00481,Noida District Court,Property,2021-04-01,2021,2023-05-19 05:21:41.167299646,25.57,1,11,1,25.57
NG-00482,Noida District Court,Cheque Bounce,2021-03-01,2021,2024-02-27 04:53:39.858070721,35.91,1,6,3,35.91
NG-00483,Jaipur District Court,Family,2020-01-01,2020,2023-12-09 18:27:19.288807525,47.27,1,5,3,47.27
